time, temp, ax, ay, az, gx, gy, gz, mx, my, mz,
1.180565e+01, 2.339614e+01, -2.240973e+00, -6.284779e+00, -6.272808e+00,4.193054e+00, 2.563369e-01, -5.659663e-01,-1.980000e-05, 1.545000e-05, 5.460000e-05,
1.190909e+01, 2.363576e+01, -3.900155e+00, -7.122750e+00, -5.681441e+00,5.006830e-01, -1.867902e-01, -1.628619e+00,-2.265000e-05, 1.860000e-05, 4.500000e-05,
1.201249e+01, 2.368368e+01, -1.649605e+00, -7.084443e+00, -4.790798e+00,1.795158e+00, 2.731241e-01, 3.024349e-01,-1.710000e-05, 2.025000e-05, 3.945000e-05,
1.211591e+01, 2.349199e+01, -5.015852e+00, -7.884106e+00, -6.342240e+00,4.900245e-01, 3.000634e+00, 1.795957e-01,-1.695000e-05, 2.085000e-05, 3.930000e-05,
1.221936e+01, 2.368368e+01, -1.625663e+00, -9.526528e+00, -4.156334e+00,2.136763e+00, 2.065084e-01, -1.636080e-01,-1.815000e-05, 2.190000e-05, 2.700000e-05,
1.232290e+01, 2.368368e+01, 1.908179e+00, -5.322310e+00, 3.167529e+00,7.549948e+00, 5.960499e+00, -7.476937e-01,-1.995000e-05, 1.605000e-05, 1.200000e-06,
1.242635e+01, 2.368368e+01, -1.953669e+00, -8.269573e+00, 5.415684e+00,5.996738e+00, 2.284383e+00, -1.435700e+00,-2.625000e-05, 3.750000e-06, -1.410000e-05,
1.252977e+01, 2.363576e+01, -3.746926e+00, -1.333810e+01, 6.610391e+00,1.461280e+00, 1.418646e+00, -9.246248e-02,-2.910000e-05, -1.365000e-05, -2.325000e-05,
1.263322e+01, 2.368368e+01, -5.339070e-01, -2.686294e+00, 1.216733e+01,9.512711e-01, -1.517237e+00, 1.797822e+00,-1.875000e-05, -3.510000e-05, -2.490000e-05,
1.273664e+01, 2.349199e+01, 3.399766e-01, 3.854665e-01, 9.397242e+00,6.789464e-01, 3.551945e-01, 2.048564e+00,-1.470000e-05, -4.080000e-05, -2.415000e-05,
1.284005e+01, 2.339614e+01, 7.110779e-01, -7.589619e-01, 1.046984e+01,1.309930e+00, -7.231792e-01, 4.516539e-01,-9.600000e-06, -4.860000e-05, -2.130000e-05,
1.294349e+01, 2.368368e+01, -6.224924e-02, 2.035071e+00, 8.568848e+00,2.410153e+00, -2.182328e-01, 2.033109e-01,-7.050000e-06, -6.195000e-05, -1.230000e-05,
1.304686e+01, 2.363576e+01, -9.557653e+00, 8.279149e+00, 3.639187e+00,6.102524e+00, -2.080006e+00, -3.155715e+00,-1.830000e-05, -8.220000e-05, 1.200000e-05,
1.315022e+01, 2.368368e+01, -7.565677e-01, 8.975862e+00, 3.505111e+00,2.488760e+00, 1.358959e+00, 1.172968e+00,-1.275000e-05, -8.250000e-05, 2.910000e-05,
1.325366e+01, 2.382745e+01, -1.323994e+00, 8.245631e+00, -1.848324e+00,4.207443e+00, 1.823403e+00, 8.636049e-01,-9.900000e-06, -7.605000e-05, 5.400000e-05,
1.335717e+01, 2.373160e+01, 1.223437e+00, 8.774749e+00, -6.189011e+00,1.107418e+00, 4.076876e-02, 8.673354e-01,-3.750000e-06, -6.390000e-05, 6.585000e-05,
1.346061e+01, 2.368368e+01, 1.616086e+00, 5.750872e+00, -7.036559e+00,6.283452e+00, 1.160444e+00, -1.096760e+00,6.000000e-07, -4.905000e-05, 7.380000e-05,
1.356405e+01, 2.387537e+01, 8.188170e-01, 3.612850e+00, -8.535329e+00,4.054760e+00, -1.230257e+00, 1.123406e+00,-1.500000e-06, -3.405000e-05, 7.830000e-05,
1.366745e+01, 2.387537e+01, 5.506664e-02, 2.236184e+00, -9.342175e+00,1.282750e+00, -3.930322e-01, 3.637213e-01,-3.150000e-06, -2.040000e-05, 7.830000e-05,
1.377091e+01, 2.382745e+01, 3.591302e-01, 3.303998e-01, -9.703699e+00,8.329617e-01, -5.848852e-01, -5.606371e-01,-6.000000e-06, -1.470000e-05, 7.860000e-05,
1.387437e+01, 2.416291e+01, -1.005565e+00, -1.810016e+00, -9.143456e+00,1.306999e+00, 1.170570e+00, -6.701532e-01,-6.150000e-06, -9.300000e-06, 7.500000e-05,
1.397780e+01, 2.401914e+01, 2.331952e+00, -1.412579e-01, -1.052491e+01,2.336876e-01, 1.820472e+00, -1.453286e+00,2.700000e-06, -7.200000e-06, 7.140000e-05,
1.408127e+01, 2.363576e+01, -1.051055e+00, 3.653552e+00, -8.185775e+00,-8.657366e+00, -5.156049e+00, 2.063219e+00,1.800000e-06, -1.800000e-05, 7.695000e-05,
1.418481e+01, 2.363576e+01, -2.161964e+00, 4.886566e+00, -5.940014e+00,-4.664959e+00, -1.099957e+00, -1.644074e-01,-1.245000e-05, -4.290000e-05, 8.205000e-05,
1.428822e+01, 2.406706e+01, -3.256114e-01, 9.038111e+00, -3.976769e+00,-5.365755e+00, -1.399195e+00, -8.492160e-01,-2.025000e-05, -7.050000e-05, 6.225000e-05,
1.439179e+01, 2.387537e+01, -4.855441e+00, 8.961497e+00, 6.320692e-01,-5.042536e+00, -1.677914e+00, -8.436202e-01,-2.655000e-05, -7.950000e-05, 4.215000e-05,
